일자,모델코드,입고,출고,재고
2022-01-01,W_M002,14922,12950,41972
2022-01-02,W_M002,13183,15781,39374
2022-01-03,W_M002,13127,13901,38600
2022-01-04,W_M002,12742,17022,34320
2022-01-05,W_M002,14604,11937,36987
2022-01-06,W_M002,13124,14146,35965
2022-01-07,W_M002,16066,15316,36715
2022-01-08,W_M002,14160,10617,40258
2022-01-09,W_M002,15703,15167,40794
2022-01-10,W_M002,12949,13739,40004
2022-01-11,W_M002,14735,12860,41879
2022-01-12,W_M002,13773,12970,42682
2022-01-13,W_M002,15918,11900,46700
2022-01-14,W_M002,14678,13637,47741
2022-01-15,W_M002,12749,13757,46733
2022-01-16,W_M002,13331,15293,44771
2022-01-17,W_M002,12906,13318,44359
2022-01-18,W_M002,13176,15458,42077
2022-01-19,W_M002,16384,14180,44281
2022-01-20,W_M002,17435,17268,44448
2022-01-21,W_M002,14651,15429,43670
2022-01-22,W_M002,14175,13455,44390
2022-01-23,W_M002,14489,11550,47329
2022-01-24,W_M002,13020,13796,46553
2022-01-25,W_M002,15887,12757,49683
2022-01-26,W_M002,14747,14143,50287
2022-01-27,W_M002,14645,12010,52922
2022-01-28,W_M002,11979,14337,50564
2022-01-29,W_M002,15051,15074,50541
2022-01-30,W_M002,13338,11811,52068
2022-01-31,W_M002,15842,14055,53855
2022-02-01,W_M002,7213,5270,55798
2022-02-02,W_M002,6782,6495,56085
2022-02-03,W_M002,7994,5189,58890
2022-02-04,W_M002,7054,8108,57836
2022-02-05,W_M002,7067,6450,58453
2022-02-06,W_M002,7423,6927,58949
2022-02-07,W_M002,8416,6885,60480
2022-02-08,W_M002,6179,7379,59280
2022-02-09,W_M002,8850,8058,60072
2022-02-10,W_M002,7831,6703,61200
2022-02-11,W_M002,7510,6429,62281
2022-02-12,W_M002,7033,6587,62727
2022-02-13,W_M002,6852,7316,62263
2022-02-14,W_M002,5631,7921,59973
2022-02-15,W_M002,6093,6901,59165
2022-02-16,W_M002,7645,5894,60916
2022-02-17,W_M002,7180,6893,61203
2022-02-18,W_M002,7457,7638,61022
2022-02-19,W_M002,6271,6562,60731
2022-02-20,W_M002,7031,7241,60521
2022-02-21,W_M002,7269,7640,60150
2022-02-22,W_M002,6018,7066,59102
2022-02-23,W_M002,8208,6560,60750
2022-02-24,W_M002,7085,6384,61451
2022-02-25,W_M002,6425,6209,61667
2022-02-26,W_M002,7248,5557,63358
2022-02-27,W_M002,7103,6940,63521
2022-02-28,W_M002,7203,6069,64655
2022-03-01,W_M002,4538,4668,64525
2022-03-02,W_M002,3861,3789,64597
2022-03-03,W_M002,4299,4030,64866
2022-03-04,W_M002,4041,3660,65247
2022-03-05,W_M002,4910,4123,66034
2022-03-06,W_M002,3899,4080,65853
2022-03-07,W_M002,4017,3863,66007
2022-03-08,W_M002,3838,4715,65130
2022-03-09,W_M002,3589,4106,64613
2022-03-10,W_M002,4103,3666,65050
2022-03-11,W_M002,3635,4150,64535
2022-03-12,W_M002,3524,4027,64032
2022-03-13,W_M002,4065,4350,63747
2022-03-14,W_M002,4167,3951,63963
2022-03-15,W_M002,3803,4131,63635
2022-03-16,W_M002,3654,3749,63540
2022-03-17,W_M002,4072,4444,63168
2022-03-18,W_M002,3672,4084,62756
2022-03-19,W_M002,4355,4301,62810
2022-03-20,W_M002,4557,3800,63567
2022-03-21,W_M002,4407,4694,63280
2022-03-22,W_M002,3789,4681,62388
2022-03-23,W_M002,4217,4135,62470
2022-03-24,W_M002,3686,3853,62303
2022-03-25,W_M002,4520,3962,62861
2022-03-26,W_M002,3263,4228,61896
2022-03-27,W_M002,3858,3919,61835
2022-03-28,W_M002,4304,4292,61847
2022-03-29,W_M002,3930,3707,62070
2022-03-30,W_M002,4677,4126,62621
2022-03-31,W_M002,3829,3200,63250
2022-04-01,W_M002,3290,2840,63700
2022-04-02,W_M002,3026,2778,63948
2022-04-03,W_M002,2624,3097,63475
2022-04-04,W_M002,2717,3130,63062
2022-04-05,W_M002,3357,2868,63551
2022-04-06,W_M002,2415,2508,63458
2022-04-07,W_M002,3040,3206,63292
2022-04-08,W_M002,2912,2959,63245
2022-04-09,W_M002,3058,3393,62910
2022-04-10,W_M002,2825,3374,62361
2022-04-11,W_M002,2640,2732,62269
2022-04-12,W_M002,2686,3417,61538
2022-04-13,W_M002,3121,2575,62084
2022-04-14,W_M002,2893,2780,62197
2022-04-15,W_M002,2493,3064,61626
2022-04-16,W_M002,3106,3105,61627
2022-04-17,W_M002,3130,2999,61758
2022-04-18,W_M002,3342,3355,61745
2022-04-19,W_M002,2579,2754,61570
2022-04-20,W_M002,2808,3196,61182
2022-04-21,W_M002,3353,2250,62285
2022-04-22,W_M002,2890,3087,62088
2022-04-23,W_M002,2909,2907,62090
2022-04-24,W_M002,2871,2769,62192
2022-04-25,W_M002,2698,3067,61823
2022-04-26,W_M002,3706,2960,62569
2022-04-27,W_M002,3110,2775,62904
2022-04-28,W_M002,3357,2697,63564
2022-04-29,W_M002,3044,2761,63847
2022-04-30,W_M002,2658,3247,63258
2022-05-01,W_M002,6910,6544,63624
2022-05-02,W_M002,5712,5189,64147
2022-05-03,W_M002,5946,5753,64340
2022-05-04,W_M002,6120,5999,64461
2022-05-05,W_M002,5243,4617,65087
2022-05-06,W_M002,6770,5165,66692
2022-05-07,W_M002,6364,5907,67149
2022-05-08,W_M002,6401,4473,69077
2022-05-09,W_M002,5950,5519,69508
2022-05-10,W_M002,6263,6380,69391
2022-05-11,W_M002,6175,6366,69200
2022-05-12,W_M002,5890,6653,68437
2022-05-13,W_M002,5641,5789,68289
2022-05-14,W_M002,5519,5486,68322
2022-05-15,W_M002,6301,4915,69708
2022-05-16,W_M002,7000,6898,69810
2022-05-17,W_M002,5995,6126,69679
2022-05-18,W_M002,6756,6099,70336
2022-05-19,W_M002,5846,5908,70274
2022-05-20,W_M002,6984,5473,71785
2022-05-21,W_M002,6414,4752,73447
2022-05-22,W_M002,5748,5385,73810
2022-05-23,W_M002,6338,5346,74802
2022-05-24,W_M002,5612,6763,73651
2022-05-25,W_M002,6647,5976,74322
2022-05-26,W_M002,6227,5974,74575
2022-05-27,W_M002,6460,5631,75404
2022-05-28,W_M002,5623,6662,74365
2022-05-29,W_M002,6744,5668,75441
2022-05-30,W_M002,4695,5979,74157
2022-05-31,W_M002,5725,6180,73702
2022-06-01,W_M002,14317,10785,77234
2022-06-02,W_M002,12973,13053,77154
2022-06-03,W_M002,12332,12940,76546
2022-06-04,W_M002,12301,11785,77062
2022-06-05,W_M002,13653,15918,74797
2022-06-06,W_M002,13889,11305,77381
2022-06-07,W_M002,10119,13719,73781
2022-06-08,W_M002,12288,13262,72807
2022-06-09,W_M002,13336,12688,73455
2022-06-10,W_M002,13439,13087,73807
2022-06-11,W_M002,11668,11515,73960
2022-06-12,W_M002,12904,12059,74805
2022-06-13,W_M002,11889,13891,72803
2022-06-14,W_M002,11802,14621,69984
2022-06-15,W_M002,14527,14062,70449
2022-06-16,W_M002,12588,13826,69211
2022-06-17,W_M002,14082,11769,71524
2022-06-18,W_M002,11859,12739,70644
2022-06-19,W_M002,10884,13905,67623
2022-06-20,W_M002,12680,13050,67253
2022-06-21,W_M002,14876,11271,70858
2022-06-22,W_M002,12625,12095,71388
2022-06-23,W_M002,12303,12986,70705
2022-06-24,W_M002,14362,15378,69689
2022-06-25,W_M002,12307,12375,69621
2022-06-26,W_M002,12247,12530,69338
2022-06-27,W_M002,10750,12567,67521
2022-06-28,W_M002,11436,10476,68481
2022-06-29,W_M002,15033,15315,68199
2022-06-30,W_M002,12613,12589,68223
2022-07-01,W_M002,17445,16390,69278
2022-07-02,W_M002,19799,17810,71267
2022-07-03,W_M002,19580,16532,74315
2022-07-04,W_M002,14754,15652,73417
2022-07-05,W_M002,17730,21357,69790
2022-07-06,W_M002,16585,20603,65772
2022-07-07,W_M002,17964,18222,65514
2022-07-08,W_M002,17923,17218,66219
2022-07-09,W_M002,17812,18223,65808
2022-07-10,W_M002,17746,18269,65285
2022-07-11,W_M002,18885,16373,67797
2022-07-12,W_M002,19508,17038,70267
2022-07-13,W_M002,19257,19461,70063
2022-07-14,W_M002,23342,18779,74626
2022-07-15,W_M002,18713,18349,74990
2022-07-16,W_M002,17737,19781,72946
2022-07-17,W_M002,14659,18971,68634
2022-07-18,W_M002,15578,18493,65719
2022-07-19,W_M002,15281,19877,61123
2022-07-20,W_M002,17898,18197,60824
2022-07-21,W_M002,16179,17125,59878
2022-07-22,W_M002,18416,15395,62899
2022-07-23,W_M002,17202,16838,63263
2022-07-24,W_M002,17850,18050,63063
2022-07-25,W_M002,20016,17649,65430
2022-07-26,W_M002,18448,16118,67760
2022-07-27,W_M002,16849,17084,67525
2022-07-28,W_M002,15636,20168,62993
2022-07-29,W_M002,18224,17088,64129
2022-07-30,W_M002,20124,20215,64038
2022-07-31,W_M002,17851,18479,63410
2022-08-01,W_M002,9466,8495,64381
2022-08-02,W_M002,9478,9007,64852
2022-08-03,W_M002,10406,10172,65086
2022-08-04,W_M002,10722,10269,65539
2022-08-05,W_M002,8595,10445,63689
2022-08-06,W_M002,11380,11411,63658
2022-08-07,W_M002,10398,11645,62411
2022-08-08,W_M002,11573,11401,62583
2022-08-09,W_M002,10651,10062,63172
2022-08-10,W_M002,7930,10874,60228
2022-08-11,W_M002,9571,11658,58141
